,alert,cdi,code,detail,dmin,felt,gap,geometry,id,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
10,,0.0,72937481,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937481&format=geojson,0.001715,0,116.0,POINT Z (-122.7881699 38.8381653 1.07),nc72937481,",nc72937481,",0.79,md,0.0,nc,8,"6km WNW of Cobb, CA",0.03,10,",nc,",automatic,1512820270570,"M 0.8 - 6km WNW of Cobb, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512826743419,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937481
11,,0.0,37826103,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826103&format=geojson,0.1161,0,123.0,POINT Z (-116.4601667 33.1575 11.15),ci37826103,",ci37826103,",0.57,ml,0.0,ci,14,"14km SW of Borrego Springs, CA",0.15,5,",ci,",automatic,1512819035660,"M 0.6 - 14km SW of Borrego Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512819243539,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826103
12,,0.0,17553795,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17553795&format=geojson,0.0,0,0.0,POINT Z (-152.5327 60.1265 78.40000000000001),ak17553795,",ak17553795,",1.9,ml,0.0,ak,0,"41km SSE of Redoubt Volcano, Alaska",1.12,56,",ak,",automatic,1512818667167,"M 1.9 - 41km SSE of Redoubt Volcano, Alaska",0,earthquake,",geoserve,origin,",-540,1512819000782,https://earthquake.usgs.gov/earthquakes/eventpage/ak17553795
13,,0.0,37826095,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826095&format=geojson,0.285,0,246.0,POINT Z (-117.4438333 32.8896667 15.48),ci37826095,",ci37826095,",1.12,ml,0.0,ci,15,"16km WNW of La Jolla, CA",0.13,19,",ci,",automatic,1512818588140,"M 1.1 - 16km WNW of La Jolla, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512818803275,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826095
14,,0.0,37826087,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826087&format=geojson,0.0254,0,83.0,POINT Z (-116.7756667 33.4975 8.48),ci37826087,",ci37826087,",0.32,ml,0.0,ci,15,"10km NE of Aguanga, CA",0.15,2,",ci,",automatic,1512818107600,"M 0.3 - 10km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512818322243,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826087
15,,0.0,72937466,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937466&format=geojson,0.006671,0,111.0,POINT Z (-122.8551636 38.8209991 2.08),nc72937466,",nc72937466,",1.06,md,0.0,nc,10,"10km WNW of The Geysers, CA",0.03,17,",nc,",automatic,1512817512950,"M 1.1 - 10km WNW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512823503237,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937466
16,,0.0,37826079,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826079&format=geojson,0.1172,0,123.0,POINT Z (-116.4598333 33.1563333 11.45),ci37826079,",ci37826079,",0.62,ml,0.0,ci,17,"14km SW of Borrego Springs, CA",0.16,6,",ci,",automatic,1512816693340,"M 0.6 - 14km SW of Borrego Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512816911956,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826079
17,,0.0,37826071,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826071&format=geojson,0.1625,0,109.0,POINT Z (-116.3738333 33.427 11.7),ci37826071,",ci37826071,",0.69,ml,0.0,ci,20,"19km N of Borrego Springs, CA",0.2,7,",ci,",automatic,1512816212840,"M 0.7 - 19km N of Borrego Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512816430913,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826071
18,,0.0,2000c2cc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c2cc&format=geojson,3.055,0,96.0,POINT Z (76.9222 33.4741 28.99),us2000c2cc,",us2000c2cc,",4.6,mb,0.0,us,0,"98km SW of Leh, India",0.85,326,",us,",reviewed,1512816188380,"M 4.6 - 98km SW of Leh, India",0,earthquake,",geoserve,origin,phase-data,",330,1512817459040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c2cc
19,,0.0,37826063,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826063&format=geojson,0.01421,0,32.0,POINT Z (-116.7935 33.4993333 5.58),ci37826063,",ci37826063,",1.46,ml,0.0,ci,62,"9km NE of Aguanga, CA",0.21,33,",ci,",automatic,1512815983300,"M 1.5 - 9km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512816654830,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826063
20,,0.0,37826055,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826055&format=geojson,0.1325,0,87.0,POINT Z (-116.424 33.4175 13.59),ci37826055,",ci37826055,",1.1,ml,0.0,ci,50,"18km NNW of Borrego Springs, CA",0.18,19,",ci,",automatic,1512815369600,"M 1.1 - 18km NNW of Borrego Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512815593747,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826055
21,,0.0,72937451,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937451&format=geojson,0.006066,0,75.0,POINT Z (-122.8218307 38.810833 2.22),nc72937451,",nc72937451,",0.44,md,0.0,nc,10,"7km WNW of The Geysers, CA",0.06,3,",nc,",automatic,1512814271080,"M 0.4 - 7km WNW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512815822942,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937451
22,,0.0,00614830,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00614830&format=geojson,0.139,0,165.7,POINT Z (-116.2532 37.0957 2.3),nn00614830,",nn00614830,",0.4,ml,0.0,nn,8,"49km ENE of Beatty, Nevada",0.0,2,",nn,",automatic,1512814131140,"M 0.4 - 49km ENE of Beatty, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480,1512814257347,https://earthquake.usgs.gov/earthquakes/eventpage/nn00614830
23,,0.0,37826039,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826039&format=geojson,0.1308,0,32.0,POINT Z (-116.0456667 33.0743333 2.6),ci37826039,",ci37826039,",2.12,ml,0.0,ci,57,"11km SE of Ocotillo Wells, CA",0.26,69,",ci,",automatic,1512813498550,"M 2.1 - 11km SE of Ocotillo Wells, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512813723615,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826039
24,,0.0,17552412,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552412&format=geojson,0.0,0,0.0,POINT Z (-147.684 64.2835 3.6),ak17552412,",ak17552412,",1.7,ml,0.0,ak,0,"46km SW of Salcha, Alaska",0.47,44,",ak,",automatic,1512813094330,"M 1.7 - 46km SW of Salcha, Alaska",0,earthquake,",geoserve,origin,",-540,1512813424873,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552412
25,,0.0,17552411,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552411&format=geojson,0.0,0,0.0,POINT Z (-151.5679 65.17010000000001 8.1),ak17552411,",ak17552411,",1.4,ml,0.0,ak,0,"23km E of Tanana, Alaska",0.51,30,",ak,",automatic,1512813017484,"M 1.4 - 23km E of Tanana, Alaska",0,earthquake,",geoserve,origin,",-540,1512813676154,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552411
26,,1.0,17552406,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552406&format=geojson,0.0,0,0.0,POINT Z (-141.5542 62.1469 5.7),ak17552406,",ak17552406,",1.7,ml,0.0,ak,0,"151km SSE of Tok, Alaska",0.27,44,",ak,",automatic,1512812692397,"M 1.7 - 151km SSE of Tok, Alaska",0,earthquake,",dyfi,geoserve,origin,",-540,1512813479697,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552406
27,,0.0,17552402,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552402&format=geojson,0.0,0,0.0,POINT Z (-149.567 61.7335 29.5),ak17552402,",ak17552402,",1.4,ml,0.0,ak,0,"12km N of Meadow Lakes, Alaska",0.58,30,",ak,",automatic,1512812574759,"M 1.4 - 12km N of Meadow Lakes, Alaska",0,earthquake,",geoserve,origin,",-540,1512812881397,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552402
28,,0.0,72937436,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937436&format=geojson,0.005714,0,136.0,POINT Z (-122.8253326 38.8040009 7.62),nc72937436,",nc72937436,",0.56,md,0.0,nc,7,"7km WNW of The Geysers, CA",0.01,5,",nc,",automatic,1512812542590,"M 0.6 - 7km WNW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512813482849,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937436
29,,0.0,37826031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826031&format=geojson,0.09135,0,154.0,POINT Z (-116.7248333 33.9023333 12.98),ci37826031,",ci37826031,",0.53,ml,0.0,ci,18,"6km ESE of Cabazon, CA",0.09,4,",ci,",automatic,1512812314900,"M 0.5 - 6km ESE of Cabazon, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512812527520,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826031
30,,2.2,17552391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552391&format=geojson,0.0,8,0.0,POINT Z (-149.2388 61.0632 12.8),ak17552391,",ak17552391,us2000c2c6,",2.9,ml,0.0,ak,0,"39km ESE of Anchorage, Alaska",0.83,131,",ak,us,",automatic,1512812212793,"M 2.9 - 39km ESE of Anchorage, Alaska",0,earthquake,",dyfi,geoserve,origin,phase-data,",-540,1512817644353,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552391
31,,0.0,17552389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552389&format=geojson,0.0,0,0.0,POINT Z (-149.4784 61.371 44.6),ak17552389,",ak17552389,",1.3,ml,0.0,ak,0,"17km SSE of Knik-Fairview, Alaska",0.79,26,",ak,",automatic,1512811910345,"M 1.3 - 17km SSE of Knik-Fairview, Alaska",0,earthquake,",geoserve,origin,",-540,1512812346944,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552389
32,,0.0,17552380,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17552380&format=geojson,0.0,0,0.0,POINT Z (-151.3909 62.2607 77.7),ak17552380,",ak17552380,",2.1,ml,0.0,ak,0,"66km W of Talkeetna, Alaska",0.45,68,",ak,",automatic,1512811454493,"M 2.1 - 66km W of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1512811884785,https://earthquake.usgs.gov/earthquakes/eventpage/ak17552380
33,,0.0,72937431,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937431&format=geojson,0.004523,0,62.0,POINT Z (-122.8310013 38.8131676 1.16),nc72937431,",nc72937431,",0.89,md,0.0,nc,11,"8km WNW of The Geysers, CA",0.04,12,",nc,",automatic,1512810885790,"M 0.9 - 8km WNW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512812223797,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937431
34,,0.0,37826023,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826023&format=geojson,0.3491,0,282.0,POINT Z (-116.8033333 33.1606667 23.56),ci37826023,",ci37826023,",0.75,ml,0.0,ci,11,"10km SSW of Lake Henshaw, CA",0.28,9,",ci,",automatic,1512810761750,"M 0.8 - 10km SSW of Lake Henshaw, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512810974385,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826023
35,,0.0,37826015,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826015&format=geojson,0.07946,0,210.0,POINT Z (-116.8475 33.5503333 10.4),ci37826015,",ci37826015,",0.01,ml,0.0,ci,11,"12km N of Aguanga, CA",0.22,0,",ci,",automatic,1512810740890,"M 0.0 - 12km N of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512810968385,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826015
36,,0.0,37826007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37826007&format=geojson,0.008148,0,30.0,POINT Z (-116.793 33.507 5.01),ci37826007,",ci37826007,",1.27,ml,0.0,ci,53,"10km NE of Aguanga, CA",0.2,25,",ci,",automatic,1512809487600,"M 1.3 - 10km NE of Aguanga, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512810114680,https://earthquake.usgs.gov/earthquakes/eventpage/ci37826007
37,,0.0,37825999,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37825999&format=geojson,0.007551,0,35.0,POINT Z (-116.7915 33.5108333 6.07),ci37825999,",ci37825999,",1.02,ml,0.0,ci,45,"10km NE of Aguanga, CA",0.18,16,",ci,",automatic,1512809445110,"M 1.0 - 10km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512809669522,https://earthquake.usgs.gov/earthquakes/eventpage/ci37825999
38,,0.0,2017343001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2017343001&format=geojson,1.694,0,221.0,POINT Z (-64.4738 19.0055 97),pr2017343001,",pr2017343001,us2000c2c3,",3.61,md,0.0,pr,10,"66km NNE of Road Town, British Virgin Islands",0.56,200,",pr,us,",reviewed,1512809232010,"M 3.6 - 66km NNE of Road Town, British Virgin Islands",0,earthquake,",geoserve,origin,phase-data,",-240,1512811088040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2017343001
39,,0.0,72937421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937421&format=geojson,0.04576,0,191.0,POINT Z (-118.8051682 37.5483322 1.57),nc72937421,",nc72937421,",0.85,md,0.0,nc,8,"11km W of Toms Place, CA",0.02,11,",nc,",automatic,1512808589130,"M 0.9 - 11km W of Toms Place, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512811022746,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937421
40,,0.0,00614828,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00614828&format=geojson,0.325,0,245.23,POINT Z (-118.8935 38.3747 15),nn00614828,",nn00614828,",1.2,ml,0.0,nn,5,"28km SW of Hawthorne, Nevada",0.0,22,",nn,",automatic,1512808391910,"M 1.2 - 28km SW of Hawthorne, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480,1512808536686,https://earthquake.usgs.gov/earthquakes/eventpage/nn00614828
41,,0.0,17551002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17551002&format=geojson,0.0,0,0.0,POINT Z (-146.4736 61.5716 29.1),ak17551002,",ak17551002,",2.1,ml,0.0,ak,0,"49km N of Valdez, Alaska",0.77,68,",ak,",automatic,1512808268135,"M 2.1 - 49km N of Valdez, Alaska",0,earthquake,",geoserve,origin,",-540,1512808513119,https://earthquake.usgs.gov/earthquakes/eventpage/ak17551002
42,,0.0,17551004,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17551004&format=geojson,0.0,0,0.0,POINT Z (-149.7578 62.8564 72.7),ak17551004,",ak17551004,",1.9,ml,0.0,ak,0,"62km NNE of Talkeetna, Alaska",0.48,56,",ak,",automatic,1512808265322,"M 1.9 - 62km NNE of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1512809205796,https://earthquake.usgs.gov/earthquakes/eventpage/ak17551004
43,,0.0,00614827,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00614827&format=geojson,0.325,0,123.28,POINT Z (-118.8988 38.3705 21.4),nn00614827,",nn00614827,",1.2,ml,0.0,nn,6,"29km SW of Hawthorne, Nevada",0.0,22,",nn,",automatic,1512808047490,"M 1.2 - 29km SW of Hawthorne, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480,1512808131009,https://earthquake.usgs.gov/earthquakes/eventpage/nn00614827
44,,0.0,72937406,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937406&format=geojson,0.007585,0,184.0,POINT Z (-122.8195038 38.8095016 1.74),nc72937406,",nc72937406,",1.01,md,0.0,nc,8,"6km WNW of The Geysers, CA",0.06,16,",nc,",automatic,1512806492080,"M 1.0 - 6km WNW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512809763699,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937406
45,,0.0,17550996,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17550996&format=geojson,0.0,0,0.0,POINT Z (-149.2448 62.9702 71.09999999999999),ak17550996,",ak17550996,",1.8,ml,0.0,ak,0,"49km SSW of Cantwell, Alaska",0.65,50,",ak,",automatic,1512806283467,"M 1.8 - 49km SSW of Cantwell, Alaska",0,earthquake,",geoserve,origin,",-540,1512806747547,https://earthquake.usgs.gov/earthquakes/eventpage/ak17550996
46,,0.0,17550980,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17550980&format=geojson,0.0,0,0.0,POINT Z (-141.4828 62.1631 0),ak17550980,",ak17550980,us2000c2br,",3.0,ml,0.0,ak,0,"151km SSE of Tok, Alaska",0.95,138,",ak,us,",automatic,1512805531623,"M 3.0 - 151km SSE of Tok, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1512809964040,https://earthquake.usgs.gov/earthquakes/eventpage/ak17550980
47,,2.2,2000c2bw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c2bw&format=geojson,3.897,1,133.0,POINT Z (124.9784 10.9462 53.59),us2000c2bw,",us2000c2bw,",4.7,mb,0.0,us,0,"1km NNW of Cabacungan, Philippines",0.65,340,",us,",reviewed,1512805153840,"M 4.7 - 1km NNW of Cabacungan, Philippines",0,earthquake,",dyfi,geoserve,origin,phase-data,",480,1512809512262,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c2bw
48,,3.6,37825991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37825991&format=geojson,0.04227,251,23.0,POINT Z (-117.2506667 34.1656667 2.81),ci37825991,",ci37825991,",2.82,ml,0.0,ci,113,"6km NE of San Bernardino, CA",0.17,213,",ci,",automatic,1512804930840,"M 2.8 - 6km NE of San Bernardino, CA",0,earthquake,",dyfi,focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512828591263,https://earthquake.usgs.gov/earthquakes/eventpage/ci37825991
49,,0.0,2000c2bq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000c2bq&format=geojson,0.508,0,144.0,POINT Z (-62.7848 17.3583 165.1),us2000c2bq,",pt17343000,us2000c2bq,",4.0,mb,0.0,us,0,"5km W of Cayon, Saint Kitts and Nevis",0.77,246,",pt,us,",reviewed,1512804813420,"M 4.0 - 5km W of Cayon, Saint Kitts and Nevis",0,earthquake,",geoserve,origin,phase-data,",-240,1512805748040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000c2bq
50,,0.0,37825983,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37825983&format=geojson,0.02763,0,37.0,POINT Z (-116.788 33.4866667 4.97),ci37825983,",ci37825983,",1.5,ml,0.0,ci,57,"9km NE of Aguanga, CA",0.18,35,",ci,",automatic,1512804661000,"M 1.5 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512804886559,https://earthquake.usgs.gov/earthquakes/eventpage/ci37825983
51,,0.0,37825967,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37825967&format=geojson,0.006128,0,61.0,POINT Z (-116.795 33.5081667 6.2),ci37825967,",ci37825967,",0.52,ml,0.0,ci,24,"10km NE of Aguanga, CA",0.11,4,",ci,",automatic,1512803479140,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512803705167,https://earthquake.usgs.gov/earthquakes/eventpage/ci37825967
52,,0.0,72937376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937376&format=geojson,0.08004,0,150.0,POINT Z (-118.8063354 37.5526657 4.56),nc72937376,",nc72937376,",2.22,md,0.0,nc,26,"11km W of Toms Place, CA",0.03,76,",nc,",automatic,1512803354860,"M 2.2 - 11km W of Toms Place, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512817322989,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937376
53,,0.0,17549613,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak17549613&format=geojson,0.0,0,0.0,POINT Z (-150.1868 62.2328 19.5),ak17549613,",ak17549613,",1.4,ml,0.0,ak,0,"10km SSW of Talkeetna, Alaska",0.31,30,",ak,",automatic,1512802350603,"M 1.4 - 10km SSW of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1512802627522,https://earthquake.usgs.gov/earthquakes/eventpage/ak17549613
54,,0.0,00614819,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00614819&format=geojson,0.089,0,245.36,POINT Z (-117.0217 37.0672 10.9),nn00614819,",nn00614819,",0.9,ml,0.0,nn,5,"29km NW of Beatty, Nevada",0.0,12,",nn,",automatic,1512801747330,"M 0.9 - 29km NW of Beatty, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480,1512801819127,https://earthquake.usgs.gov/earthquakes/eventpage/nn00614819
55,,0.0,72937366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72937366&format=geojson,0.04944,0,141.0,POINT Z (-118.8288345 37.5405006 5.72),nc72937366,",nc72937366,",1.65,md,0.0,nc,22,"13km W of Toms Place, CA",0.03,42,",nc,",automatic,1512801099520,"M 1.7 - 13km W of Toms Place, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1512814864905,https://earthquake.usgs.gov/earthquakes/eventpage/nc72937366
